Date,Open,High,Low,Close,Volume
09/10/2025,"656.86","657.82","653.89","655.49","18,437,461"
09/09/2025,"652.20","654.11","650.45","653.62","13,556,550"
09/08/2025,"651.84","653.06","650.45","652.12","5,228,348"
09/05/2025,"654.70","655.44","646.54","650.47","3,575,382"
09/04/2025,"647.62","652.36","646.70","652.21","5,855,433"
09/03/2025,"645.82","647.40","643.64","646.88","3,886,544"
09/02/2025,"640.64","643.64","638.05","643.42","5,796,423"
08/29/2025,"650.69","651.06","646.35","648.32","3,709,195"
08/28/2025,"650.44","652.69","648.57","652.14","3,384,996"
08/27/2025,"647.76","650.58","647.65","649.80","3,679,662"
08/26/2025,"645.34","648.69","644.75","648.26","3,301,771"
08/25/2025,"647.23","648.46","645.55","645.64","3,811,824"
08/22/2025,"640.93","649.68","640.41","648.50","4,024,818"
08/21/2025,"639.41","641.09","636.97","638.70","2,680,030"
08/20/2025,"642.54","642.75","636.04","641.23","3,876,107"
08/19/2025,"646.29","647.27","641.66","642.95","2,958,416"
08/18/2025,"646.00","647.17","645.33","646.37","4,463,296"
08/15/2025,"649.20","649.27","645.72","646.67","3,113,143"
08/14/2025,"645.99","648.79","645.51","648.13","3,210,379"
08/13/2025,"648.02","649.31","645.84","648.11","3,643,852"
08/12/2025,"641.37","645.99","639.91","645.74","4,499,719"
08/11/2025,"640.60","642.05","637.75","638.98","3,625,843"
08/08/2025,"637.21","640.76","636.85","640.25","2,898,043"
08/07/2025,"639.35","640.08","632.18","635.44","5,354,203"
08/06/2025,"632.10","636.51","631.19","635.79","3,085,833"
08/05/2025,"634.89","635.66","630.13","631.12","3,641,650"
08/04/2025,"628.73","634.27","628.59","634.17","4,654,401"
08/01/2025,"629.36","629.36","622.31","624.65","6,864,261"
07/31/2025,"642.57","642.94","633.80","634.90","7,730,478"
07/30/2025,"639.10","640.74","634.59","637.51","4,588,333"
07/29/2025,"641.43","641.74","637.42","638.40","4,958,004"
07/28/2025,"640.53","641.10","638.64","639.92","9,580,953"
07/25/2025,"638.15","640.64","637.96","640.06","3,306,196"
07/24/2025,"637.65","639.19","637.05","637.58","3,952,767"
07/23/2025,"634.61","637.33","632.76","637.33","5,836,500"
07/22/2025,"632.12","632.78","629.25","631.74","4,955,634"
07/21/2025,"631.80","634.60","631.36","631.73","3,558,099"
07/18/2025,"632.32","632.39","629.47","630.67","3,970,702"
07/17/2025,"627.44","631.42","627.25","630.93","3,575,395"
07/16/2025,"626.76","627.72","621.05","627.25","4,667,287"
07/15/2025,"630.52","630.86","624.99","624.99","3,813,813"
07/14/2025,"626.17","628.14","624.75","627.74","2,590,584"
07/11/2025,"625.76","627.82","624.52","626.44","2,739,232"
07/10/2025,"627.18","629.87","626.01","628.85","2,559,688"
07/09/2025,"625.75","627.72","623.89","627.03","3,019,838"
07/08/2025,"624.32","625.07","622.52","623.33","4,685,640"
07/07/2025,"626.34","627.00","620.85","623.83","7,472,313"
07/03/2025,"625.40","629.25","625.40","628.17","4,229,404"
07/02/2025,"620.20","623.70","619.58","623.42","4,920,907"
07/01/2025,"619.31","621.68","618.48","620.67","6,039,395"
06/30/2025,"620.31","622.12","617.99","620.90","6,552,409"
06/27/2025,"615.81","619.31","613.79","617.46","7,933,764"
06/26/2025,"611.90","615.23","611.28","614.76","4,955,901"
06/25/2025,"610.79","611.35","608.45","609.96","13,558,860"
06/24/2025,"607.19","610.71","606.31","609.51","7,360,009"
06/23/2025,"597.87","603.39","594.71","602.93","6,750,373"
06/20/2025,"601.23","602.31","595.70","596.66","7,447,403"
06/18/2025,"599.50","602.31","597.72","598.62","4,192,047"
06/17/2025,"601.29","602.83","597.85","598.76","11,753,080"
