Date,Open,High,Low,Close,Volume
09/10/2025,"656.86","657.82","653.89","655.49","18,437,461"
09/09/2025,"652.20","654.11","650.45","653.62","13,556,550"
09/08/2025,"651.84","653.06","650.45","652.12","5,228,348"
09/05/2025,"654.70","655.44","646.54","650.47","3,575,382"
09/04/2025,"647.62","652.36","646.70","652.21","5,855,433"
09/03/2025,"645.82","647.40","643.64","646.88","3,886,544"
09/02/2025,"640.64","643.64","638.05","643.42","5,796,423"
08/29/2025,"650.69","651.06","646.35","648.32","3,709,195"
08/28/2025,"650.44","652.69","648.57","652.14","3,384,996"
08/27/2025,"647.76","650.58","647.65","649.80","3,679,662"
08/26/2025,"645.34","648.69","644.75","648.26","3,301,771"
08/25/2025,"647.23","648.46","645.55","645.64","3,811,824"
08/22/2025,"640.93","649.68","640.41","648.50","4,024,818"
08/21/2025,"639.41","641.09","636.97","638.70","2,680,030"
08/20/2025,"642.54","642.75","636.04","641.23","3,876,107"
08/19/2025,"646.29","647.27","641.66","642.95","2,958,416"
08/18/2025,"646.00","647.17","645.33","646.37","4,463,296"
08/15/2025,"649.20","649.27","645.72","646.67","3,113,143"
08/14/2025,"645.99","648.79","645.51","648.13","3,210,379"
08/13/2025,"648.02","649.31","645.84","648.11","3,643,852"
08/12/2025,"641.37","645.99","639.91","645.74","4,499,719"
08/11/2025,"640.60","642.05","637.75","638.98","3,625,843"
