Date,Open,High,Low,Close,Volume
09/10/2025,"653.62","654.55","650.63","652.21","78,034,531"
09/09/2025,"648.97","650.86","647.22","650.33","66,133,859"
09/08/2025,"648.62","649.84","647.23","648.83","63,133,102"
09/05/2025,"651.48","652.21","643.33","647.24","85,178,945"
09/04/2025,"644.42","649.15","643.51","649.12","65,219,230"
09/03/2025,"642.67","644.21","640.46","643.74","70,820,898"
09/02/2025,"637.50","640.49","634.92","640.27","81,983,555"
08/29/2025,"647.47","647.84","643.14","645.05","74,522,195"
08/28/2025,"647.24","649.48","645.34","648.92","61,519,461"
08/27/2025,"644.57","647.37","644.42","646.63","48,341,070"
08/26/2025,"642.20","645.51","641.57","645.16","51,581,566"
08/25/2025,"644.04","645.29","642.35","642.47","51,274,328"
08/22/2025,"637.76","646.50","637.25","645.31","84,083,211"
08/21/2025,"636.28","637.97","633.81","635.55","54,805,781"
08/20/2025,"639.40","639.66","632.95","638.11","88,890,305"
08/19/2025,"643.12","644.11","638.48","639.81","69,750,727"
08/18/2025,"642.86","644.00","642.18","643.30","43,804,910"
08/15/2025,"645.99","646.09","642.52","643.44","68,592,516"
08/14/2025,"642.79","645.62","642.34","644.95","59,327,473"
08/13/2025,"644.91","646.19","642.68","644.89","60,092,793"
08/12/2025,"638.29","642.85","636.79","642.69","64,821,801"
08/11/2025,"637.46","638.95","634.66","635.92","58,742,301"
08/08/2025,"634.06","637.65","633.74","637.18","64,051,633"
08/07/2025,"636.24","636.98","629.11","632.25","74,205,789"
08/06/2025,"629.05","633.44","628.13","632.78","64,357,527"
08/05/2025,"631.79","632.61","627.04","627.97","68,051,398"
08/04/2025,"625.67","631.22","625.58","631.17","73,218,016"
08/01/2025,"626.30","626.34","619.29","621.72","140,103,594"
07/31/2025,"639.46","639.85","630.77","632.08","103,385,203"
07/30/2025,"635.92","637.68","631.54","634.46","80,418,852"
07/29/2025,"638.35","638.67","634.34","635.26","60,556,281"
07/28/2025,"637.48","638.04","635.54","636.94","54,917,102"
07/25/2025,"635.09","637.58","634.84","637.10","56,865,359"
07/24/2025,"634.60","636.15","633.99","634.42","71,307,125"
07/23/2025,"631.55","634.21","629.73","634.21","70,511,039"
07/22/2025,"629.10","629.73","626.19","628.86","60,046,289"
07/21/2025,"628.77","631.54","628.34","628.77","63,374,980"
07/18/2025,"629.30","629.47","626.46","627.58","65,621,648"
07/17/2025,"624.40","628.40","624.18","628.04","68,885,680"
07/16/2025,"623.74","624.73","618.05","624.22","88,987,516"
07/15/2025,"627.52","627.86","622.06","622.14","74,317,266"
07/14/2025,"623.16","625.16","621.80","624.81","51,898,520"
07/11/2025,"622.74","624.86","621.53","623.62","63,670,230"
07/10/2025,"624.20","626.87","623.01","625.82","57,528,961"
07/09/2025,"622.77","624.72","620.91","624.06","66,113,328"
07/08/2025,"621.35","622.11","619.52","620.34","59,024,594"
07/07/2025,"623.36","624.03","617.87","620.68","74,814,516"
07/03/2025,"622.45","626.28","622.43","625.34","51,065,793"
07/02/2025,"617.24","620.49","616.61","620.45","66,510,367"
07/01/2025,"616.36","618.83","615.52","617.65","70,030,141"
06/30/2025,"617.38","619.22","615.04","617.85","92,502,547"
06/27/2025,"612.88","616.39","610.83","614.91","86,258,398"
06/26/2025,"608.99","612.31","608.37","611.87","78,548,359"
06/25/2025,"607.91","608.61","605.54","607.12","62,114,770"
06/24/2025,"604.33","607.85","603.41","606.78","67,735,289"
06/23/2025,"595.04","600.54","591.89","600.15","87,426,039"
06/20/2025,"598.38","599.46","592.86","594.28","94,051,367"
06/18/2025,"598.44","601.22","596.47","597.44","76,605,031"
06/17/2025,"600.21","601.75","596.76","597.53","82,209,367"
06/16/2025,"600.40","604.45","600.22","602.68","79,984,125"
06/13/2025,"598.50","601.85","595.48","597.00","89,506,000"
06/12/2025,"600.01","603.75","599.52","603.75","64,129,000"
06/11/2025,"604.19","605.06","599.27","601.36","73,658,234"
06/10/2025,"600.22","603.47","599.09","603.08","66,246,969"
06/09/2025,"599.72","601.25","598.49","599.68","53,016,422"
06/06/2025,"598.66","600.83","596.86","599.14","66,588,742"
06/05/2025,"597.63","599.00","591.05","593.05","92,436,398"
06/04/2025,"596.96","597.95","595.49","595.93","57,314,199"
06/03/2025,"592.34","597.08","591.85","596.09","63,606,199"
06/02/2025,"587.76","592.79","585.06","592.71","61,630,500"
05/30/2025,"588.93","591.13","583.24","589.39","90,601,242"
05/29/2025,"593.06","593.20","586.07","590.05","70,073,758"
05/28/2025,"591.56","592.77","586.99","587.73","68,445,516"
05/27/2025,"586.07","591.31","578.43","591.15","72,588,477"
